_id,fid,au_number,inst_name,category,iu,phone_number,location_address,location_city,location_state,location_zip_code,location_1,title,salutation,first_name,middle_init,last_name,admin_phone,admin_pho_1
15082,1,300020090,ABC Creative Play Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1 Grove Pl,Pittsburgh,PA,15236,2353, , , , , , , 
15083,2,300020130,ABC's for Children,"Licensed, Private Academic School",Allegheny IU 3,(412)344-4422,1630 Greentree Rd,Pittsburgh,PA,15220,0,Director,Ms,Kristen, ,Warzinski,(412)537-1413, 
15084,3,300020030,Abraxas Ctr Adlscnt Females,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)562-0105,437 Turrett St,Pittsburgh,PA,15206,3370, , , , , , , 
15085,4,300020020,Abraxas III,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)562-0105,936 W North Ave,Pittsburgh,PA,15233,1606, , , , , , , 
15086,5,203020115,Abundant Life International School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)761-0333,10 N Fremont Ave,Bellevue,PA,15202,0,Principal,Pr,Gary,T,Gideon, , 
15087,6,300020115,Academy,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)885-5200,900 Agnew Rd,Pittsburgh,PA,15227,0,Director,Mr,William, ,Styche,(412)751-4250, 
15088,7,300020102,ACLD Learning Center,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)881-2253,4900 Girard Road,Pittsburgh,PA,15227,1440,Director,Ms,Donna, ,Westbrooks-Martin,(412)731-5940, 
15089,8,300020150,ACLD Tillotson School,Approved Private School,Allegheny IU 3,(412)881-2268,4900 Girard Rd,Pittsburgh,PA,15227,0,Director,Ms,Donna, ,Westbrooks-Martin,(412)731-5940, 
15090,9,303020086,Adelphoi Education at Millvale,"Licensed, Private Academic School",Allegheny IU 3,(724)543-4238,608 Farragut St,Pittsburgh,PA,15209,0,Director, ,John-Michael, ,Chmiel,(412)266-6393, 
15091,10,300020180,AGH Center for Children,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)231-0250,621 E North Ave,Pittsburgh,PA,15212,4844,Principal,Ms,Janie, ,Costello, , 
15092,11,300020650,Allison House,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,99 S Euclid Ave,Pittsburgh,PA,15202,3812, , , , , , , 
15093,12,300020380,Alt Pro Asso Comm Treat #3,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,2322 Murray Ave,Pittsburgh,PA,15217,2304, , , , , , , 
15094,13,300020390,Alt Pro Asso Comm Treat #4,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,527 S Braddock Ave,Pittsburgh,PA,15221,3216, , , , , , , 
15095,14,300020410,Alt Pro Asso Comm Treat #5,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,315 N Mathilda St,Pittsburgh,PA,15224,1013, , , , , , , 
15096,15,300020340,Alt Pro Asso E L B Unit U,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,6017 E Liberty Blvd,Pittsburgh,PA,15206,2504, , , , , , , 
15097,16,300020350,Alt Pro Asso Family Dev Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,8620 Bricelyn Street Ext,Pittsburgh,PA,15221,1033, , , , , , , 
15098,17,300020360,Alt Pro Asso S Area Shelter,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,770 Broughon Road,Bethel Park,PA,15102,0, , , , , , , 
15099,18,300020500,Alt Pro Assoc G G H,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2, ,5530 Stanton Ave,Pittsburgh,PA,15206,2029, , , , , , , 
15100,19,300020370,Alt Pro Assoc I T C,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,922 N Negley Ave,Pittsburgh,PA,15206,1506, , , , , , , 
15101,20,300020420,Alt Pro Assoc Roup,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,322 Roup Ave,Pittsburgh,PA,15232,1033, , , , , , , 
15102,21,300020630,Alternative Ed Program Annex,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,734 Miller Ave,Clairton,PA,15025,1302, , , , , , , 
15103,22,203020355,Aquinas Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)444-0722,2308 West Hardies Road,Gibsonia,PA,15044,0,Principal,Mrs,Leslie,M,Mitros, , 
15104,23,203020405,Assumption School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)761-7887,35 N Jackson Ave,Pittsburgh,PA,15202,3008,Principal,Mrs,Mary Ann, ,Miller, , 
15105,24,203020455,Auberle,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)673-5800,1101 Hartman St,Mc Keesport,PA,15132,1500, , , , , , , 
15106,25,300020530,Auberle Girls Group Home,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,201 Caldwell Ave,Wilmerding,PA,15148,1105, , , , , , , 
15107,26,300020520,Auberle Goal I & II Apts,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,810 Evans Ave,Mc Keesport,PA,15132,2007, , , , , , , 
15108,27,300020550,Auberle Semi-Ind Living Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1028 Lincoln Way,Mc Keesport,PA,15132,1453, , , , , , , 
15109,28,300020560,Auberle Semi-Ind Living Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1318 Hamilton St,Mc Keesport,PA,15132,5211, , , , , , , 
15110,29,300020580,Auberle Shelter Group Home,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,122 S 3rd St,Duquesne,PA,15110,1214, , , , , , , 
15111,30,300020695,Auberle Youth & Fam Comm Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1305 5th Ave,East Mc Keesport,PA,15035,1603, , , , , , , 
15112,31,300020700,Augustana Camp Association,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,7807 Saint Lawrence Ave,Pittsburgh,PA,15218,1932, , , , , , , 
15113,32,300020800,Auntie Sherrys Christ Child C,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)241-5228,8020 Frankstown Ave,Pittsburgh,PA,15221,1330, , , , , , , 
15114,33,202020555,Bellwood Kindergarten,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)366-3812,2359 W Ingomar Rd,Pittsburgh,PA,15237,1625,Principal,Ms,Linda, ,Moser, , 
15115,34,300021230,Better Beginnings Child DC Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)761-8850,537 Ohio River Blvd,Pittsburgh,PA,15202,2325, , , , , , , 
15116,35,202021005,Bishop Canevin High School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)922-7400,2700 Morange Rd,Pittsburgh,PA,15205,4243,Principal,Mr,Kenneth, ,Sinagra, , 
15117,36,203025445,Blessed Francis Seelos Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)935-1152,201 Church Rd,Wexford,PA,15090,8842,Principal,Mr,Robert, ,Reese, , 
15118,37,203027365,Blessed Trinity Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)486-7611,2510 Middle Road,Glenshaw,PA,15116,0,Principal,Mrs,Jessica, ,Rock, , 
15119,38,300021330,Boys Club of Western PA,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)682-3031,4412 Butler St,Pittsburgh,PA,15201,3096, , , , , , , 
15120,39,300021390,Bradley Center,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(999)999-9999,3710 Saxonburg Blvd,Pittsburgh,PA,15238,0, , , , , , , 
15121,40,300021400,Bradley Center - Hampton,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,3999 Middle Rd,Allison Park,PA,15101,0, , , , , , , 
15122,41,300630351,Bradley School,"Licensed, Private Academic School",Allegheny IU 3,(412)788-8219,5180 Campbells Run Road,Pittsburgh,PA,15205,0,Director,Ms,Charissa,D,Rychcik,(412)855-4817, 
15123,42,300020160,Brightside Academy,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(412)560-0237,935 Penn Avenue,Pittsburgh,PA,15222,0,Director,Mr,John, ,Yuhaschek,(412)697-1532,370
15124,43,203021595,Calvary Baptist Nursery & Kindergarten,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)461-6211,120 Anborn Dr,West Mifflin,PA,15122,0,Principal, ,Yvonne, ,Chasko, , 
15125,44,202021105,Campus School of Carlow University,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)578-6157,3333 5th Ave Tiernan Hall,Pittsburgh,PA,15213,3109,Principal, ,Tawana, ,Cook Purnell, , 
15126,45,203020012,Carnegie Mellon University Childrens School,"Licensed, Private Academic School",Allegheny IU 3,(412)268-2199,5000 Forbes Avenue,Pittsburgh,PA,15213,0,Director,Ms,Linda,E,Hancock,(412)268-2198, 
